#Digilent WaveForms Network Analyzer - Network
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-22 04:20:11.198

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000001,-26.35531333155777,89.31994609041573
1.004615790278397,-26.31434392337277,89.31271551859417
1.009252886076686,-26.26363642311663,89.36334190039425
1.01391138573668,-26.24007317739008,89.50680209225192
1.018591388054118,-26.1731903905935,89.53075200149254
1.023292992280755,-26.16657446939891,89.33665691970825
1.028016298126475,-26.10573204792201,89.38686325407762
1.032761405761399,-26.08945171031369,89.43361322021849
1.037528415818014,-26.02768163552053,89.41893194640646
1.042317429393305,-26.00107480711881,89.4532123557744
1.047128548050901,-25.94919018496203,89.31568142346505
1.051961873823223,-25.91545417294762,89.38333115458255
1.05681750921366,-25.86783511259512,89.32653766819767
1.061695557198726,-25.8187934238594,89.25250919195997
1.066596121230259,-25.80755162001061,89.22400535920411
1.071519305237607,-25.73729530319266,89.35298915048858
1.076465213629836,-25.70815982268182,89.41110847815386
1.081433951297939,-25.68925890015371,89.34295162732194
1.086425623617067,-25.64108899345022,89.06286888027168
1.091440336448758,-25.60338015818833,89.25221167092775
1.096478196143186,-25.55790380308533,89.38790273641462
1.101539309541416,-25.50127373939735,89.32446242812927
1.106623783977668,-25.46885570016737,89.5244234058103
1.111731727281592,-25.44081454400924,89.40778805740575
1.116863247780562,-25.40927731505027,89.17490746891076
1.122018454301965,-25.35614954863835,89.18804579321255
1.127197456175512,-25.28893933592527,89.32376579200047
1.132400363235558,-25.27337339758324,89.06245832505492
1.137627285823432,-25.23467950389056,89.04196129176096
1.142878334789772,-25.19295193397817,89.0774973995555
1.148153621496884,-25.15136767913324,89.28416635351476
1.153453257821093,-25.11741283380763,89.21704599872183
1.158777356155128,-25.06860767105392,89.14696037591867
1.164126029410492,-25.04701110335121,88.99903401495357
1.169499391019871,-24.98799240376291,89.12376085381548
1.17489755493953,-24.9687403589445,89.06408826104139
1.180320635651731,-24.92537711120053,89.10399440899246
1.185768748167161,-24.87637274402035,89.01987834217354
1.191242008027376,-24.83734995186387,89.25194171582635
1.196740531307244,-24.78472726151201,88.98707084531887
